datasets,model,embed_size,num_blocks
colbert,qnet,1,1
colbert,qnet,1,2
colbert,resqnet,1,1
colbert,resqnet,1,2
colbert,resqnet,2,1
colbert,resqnet,2,2
colbert,resqnet,3,1
colbert,fnet,1,1
colbert,fnet,1,2
colbert,fnet,2,1
colbert,fnet,2,2
colbert,fnet,3,2
colbert,fnet,4,1
colbert,fnet,8,1
colbert,transformer,1,1
colbert,transformer,1,2
colbert,transformer,2,1
colbert,transformer,2,2
colbert,transformer,3,1
colbert,transformer,3,2
colbert,transformer,4,1
colbert,transformer,8,1
colbert,qlstm,1,1
colbert,qlstm,1,2
colbert,qlstm,2,1
colbert,qlstm,2,2
colbert,qlstm,3,1
stackoverflow,qnet,1,1
stackoverflow,qnet,1,2
stackoverflow,resqnet,1,1
stackoverflow,resqnet,1,2
stackoverflow,resqnet,2,1
stackoverflow,resqnet,2,2
stackoverflow,resqnet,3,1
stackoverflow,fnet,1,1
stackoverflow,fnet,1,2
stackoverflow,fnet,2,1
stackoverflow,fnet,2,2
stackoverflow,fnet,3,2
stackoverflow,fnet,4,1
stackoverflow,fnet,8,1
stackoverflow,transformer,1,1
stackoverflow,transformer,1,2
stackoverflow,transformer,2,1
stackoverflow,transformer,2,2
stackoverflow,transformer,3,1
stackoverflow,transformer,3,2
stackoverflow,transformer,4,1
stackoverflow,transformer,8,1
stackoverflow,qlstm,1,1
stackoverflow,qlstm,1,2
stackoverflow,qlstm,2,1
stackoverflow,qlstm,2,2
stackoverflow,qlstm,3,1
rentrunway,qnet,1,1
rentrunway,qnet,1,2
rentrunway,resqnet,1,1
rentrunway,resqnet,1,2
rentrunway,resqnet,2,1
rentrunway,resqnet,2,2
rentrunway,resqnet,3,1
rentrunway,fnet,1,1
rentrunway,fnet,1,2
rentrunway,fnet,2,1
rentrunway,fnet,2,2
rentrunway,fnet,3,2
rentrunway,fnet,4,1
rentrunway,fnet,8,1
rentrunway,transformer,1,1
rentrunway,transformer,1,2
rentrunway,transformer,2,1
rentrunway,transformer,2,2
rentrunway,transformer,3,1
rentrunway,transformer,3,2
rentrunway,transformer,4,1
rentrunway,transformer,8,1
rentrunway,qlstm,1,1
rentrunway,qlstm,1,2
rentrunway,qlstm,2,1
rentrunway,qlstm,2,2
rentrunway,qlstm,3,1
msra,qnet,1,1
msra,qnet,1,2
msra,resqnet,1,1
msra,resqnet,1,2
msra,resqnet,2,1
msra,resqnet,2,2
msra,fnet,1,1
msra,fnet,1,2
msra,fnet,2,1
msra,fnet,2,2
msra,fnet,3,2
msra,fnet,4,1
msra,fnet,8,1
msra,transformer,1,1
msra,transformer,1,2
msra,transformer,2,1
msra,transformer,2,2
msra,transformer,3,1
msra,transformer,3,2
msra,transformer,4,1
msra,transformer,8,1
msra,qlstm,1,1
msra,qlstm,1,2
msra,qlstm,2,1
msra,qlstm,2,2
msra,qlstm,3,1
